	participant	sentence_number	sentence_index	sentence_order	critical_reached	critical_index	critical_target	critical_distractor	critical_target_word	critical_distractor_word	target_length	condition	condition_label	ortho_similarity	phono_similarity	critical_target_freq	critical_distractor_freq	critical_target_word_freq	critical_distractor_word_freq	block_acc	block_RT	pair_distractor	pair_correct	target_pos	target_pos_verbose	resp	resp_verbose	resp_RT	resp_acc	prev_pos	prev_resp	condition_verbose	inv_RT	ortho_center	phono_center
12737	117	39	7	59	1.0	7	滴	剔	滴血	剔血	2	3	phon_sim	0	1	3.0378	2.4942	0.0	0.0	1	11367	剔血	滴血	1	R	1	R	843	1	1	1	O-P+	-1.1862396204033214	-0.5	0.5
12747	117	40	8	17	1.0	8	倦	讴	疲倦	疲讴	2	4	both_dif	0	0	2.9717	1.0792	2.1584	0.0	1	11050	疲讴	疲倦	0	L	0	L	926	1	1	1	O-P-	-1.079913606911447	-0.5	-0.5
12755	117	41	6	76	1.0	6	详	栓	详细	栓细	2	2	orth_sim	1	0	3.0689	2.4249	2.8537	0.0	1	16049	栓细	详细	1	R	1	R	801	1	0	0	O+P-	-1.2484394506866416	0.5	-0.5
12785	117	44	5	27	1.0	5	耗	蚊	耗子.	蚊子	3	2	orth_sim	1	0	2.9122	2.2833	0.0	2.1072	1	8834	蚊子.	耗子.	0	L	0	L	1073	1	1	1	O+P-	-0.9319664492078286	0.5	-0.5
12790	117	45	4	5	1.0	4	烛	庵	蜡烛	蜡庵	2	4	both_dif	0	0	2.8235	0.8451	2.7101	0.0	1	6750	蜡庵	蜡烛	1	R	1	R	821	1	1	1	O-P-	-1.218026796589525	-0.5	-0.5
12797	117	46	5	31	1.0	5	耳	尔	耳机	尔机	2	3	phon_sim	0	1	3.5981	4.6158	2.2553	0.0	1	8333	尔机	耳机	1	R	1	R	758	1	1	1	O-P+	-1.3192612137203166	-0.5	0.5
12810	117	47	9	90	1.0	9	饿	娣	饿	娣	1	2	orth_sim	1	0	3.5232	1.7482	3.4688	0.301	1	11417	娣	饿	0	L	0	L	611	1	1	1	O+P-	-1.6366612111292962	0.5	-0.5
12819	117	48	7	79	1.0	7	鸭	鸦	鸭	鸦	1	1	both_sim	1	1	2.8739	2.6345	2.3284	1.0792	1	9800	鸦	鸭	0	L	0	L	969	1	1	1	O+P+	-1.0319917440660475	0.5	0.5
12826	117	49	5	26	1.0	5	拒	剧	拒绝	剧绝	2	3	phon_sim	0	1	3.5422	3.9246	3.4594	0.0	1	7717	剧绝	拒绝	0	L	0	L	527	1	1	1	O-P+	-1.8975332068311195	-0.5	0.5
12830	117	50	2	1	1.0	2	分	揠	分手	揠手	2	4	both_dif	0	0	4.6848	0.301	3.3341	0.0	1	9050	揠手	分手	1	R	1	R	758	1	1	1	O-P-	-1.3192612137203166	-0.5	-0.5
12845	117	51	8	55	1.0	8	唯	衷	唯唯诺诺。	衷衷诺诺	5	4	both_dif	0	0	3.9755	2.8209	0.0	0.0	1	10250	衷衷诺诺。	唯唯诺诺。	1	R	1	R	2443	1	0	0	O-P-	-0.4093327875562833	-0.5	-0.5
12852	117	52	6	32	1.0	6	噪	赵	噪音.	赵音	3	3	phon_sim	0	1	2.6902	2.1038	0.0	0.0	1	7299	赵音.	噪音.	0	L	0	L	527	1	0	0	O-P+	-1.8975332068311195	-0.5	0.5
12862	117	53	9	20	1.0	9	健	挺	健身.	挺身	3	2	orth_sim	1	0	3.6176	3.9033	0.0	1.5051	1	11100	挺身.	健身.	1	R	1	R	884	1	1	1	O+P-	-1.1312217194570136	0.5	-0.5
12869	117	54	6	74	1.0	6	守	安	守	安	1	2	orth_sim	1	0	3.7948	4.6203	3.0997	3.2398	1	11984	安	守	0	L	0	L	611	1	0	0	O+P-	-1.6366612111292962	0.5	-0.5
12881	117	55	7	81	1.0	7	中	郑	中间	郑间	2	3	phon_sim	0	1	4.8435	2.4533	3.2025	0.0	1	8967	郑间	中间	0	L	0	L	885	1	1	1	O-P+	-1.1299435028248588	-0.5	0.5
12896	117	57	8	34	1.0	8	持	远	主持人。	主远人	4	4	both_dif	0	0	4.2381	4.3334	0.0	0.0	1	8767	主远人。	主持人。	1	R	1	R	506	1	0	0	O-P-	-1.976284584980237	-0.5	-0.5
12903	117	58	6	73	1.0	6	思	漾	思念	漾念	2	4	both_dif	0	0	4.5423	1.4624	2.2148	0.0	1	7283	漾念	思念	0	L	0	L	632	1	0	0	O-P-	-1.5822784810126582	-0.5	-0.5
12910	117	59	5	33	1.0	5	挤	齐	挤	齐	1	1	both_sim	1	1	3.1578	3.223	2.9528	2.8615	1	10001	齐	挤	1	R	1	R	1074	1	1	1	O+P+	-0.931098696461825	0.5	0.5
12922	117	60	8	77	1.0	8	抬	太	抬	太	1	3	phon_sim	0	1	3.1749	4.9079	3.0212	4.8139	1	12633	太	抬	0	L	0	L	674	1	0	0	O-P+	-1.4836795252225519	-0.5	0.5
12933	117	61	6	30	1.0	6	蹭	嗳	蹭	嗳	1	2	orth_sim	1	0	2.4609	1.3802	2.1523	1.3802	1	9217	嗳	蹭	1	R	1	R	1327	1	1	1	O+P-	-0.7535795026375283	0.5	-0.5
12942	117	62	6	11	1.0	6	椅	倌	椅子.	倌子	3	2	orth_sim	1	0	3.3255	1.0792	0.0	0.0	1	8034	倌子.	椅子.	0	L	0	L	1117	1	0	0	O+P-	-0.8952551477170994	0.5	-0.5
12946	117	63	3	29	1.0	3	促	蹙	促进	蹙进	2	3	phon_sim	0	1	2.8261	0.699	1.9638	0.0	1	8233	蹙进	促进	1	R	1	R	1011	1	1	1	O-P+	-0.9891196834817013	-0.5	0.5
12957	117	64	7	42	1.0	7	缉	辑	缉	辑	1	1	both_sim	1	1	2.8274	3.2765	1.8129	1.5315	1	11100	辑	缉	1	R	1	R	1474	1	1	1	O+P+	-0.6784260515603799	0.5	0.5
12971	117	65	11	48	1.0	11	提	忘	提	忘	1	4	both_dif	0	0	4.3807	4.1108	3.7229	3.8525	1	13900	忘	提	1	R	1	R	548	1	1	1	O-P-	-1.8248175182481752	-0.5	-0.5
12979	117	66	5	40	1.0	5	唱	威	唱歌.	威歌	3	4	both_dif	0	0	4.0763	4.047	0.0	0.0	1	5566	威歌.	唱歌.	0	L	0	L	526	1	0	0	O-P-	-1.9011406844106464	-0.5	-0.5
12987	117	67	7	38	1.0	7	溪	漆	溪流	漆流	2	1	both_sim	1	1	2.5079	2.8669	1.2553	0.0	1	12700	漆流	溪流	1	R	1	R	779	1	0	0	O+P+	-1.2836970474967908	0.5	0.5
